DISC;PAL;LINE;CAMPIONATO;NAZ;CULT;EVENTO;DATA ORA;STATO;FN1;FNX;FN2
1;350;19016;WAL1;0;0;AIRBUS UK BROUGHTON - NEWTOWN AFC;23/09/2022 20.45;A;3,95;3,70;1,67
1;350;18950;WAL1;0;0;PENYBONT FC - ABERYSTWYTH TOWN FC;23/09/2022 20.45;A;1,47;4,10;5,20
1;350;18955;NIRL1;0;0;CARRICK RANGERS - LARNE FC;23/09/2022 20.45;A;4,10;3,85;1,63
1;350;19006;NIRL1;0;0;COLERAINE - NEWRY CITY AFC;23/09/2022 20.45;A;1,52;4,10;4,70
1;350;18964;NIRL1;0;0;CRUSADERS FC - BALLYMENA UNITED;23/09/2022 20.45;A;1,42;4,30;5,40
1;350;18971;NIRL1;0;0;DUNGANNON SWIFTS - PORTADOWN;23/09/2022 20.45;A;1,77;3,55;3,65
1;350;18961;NIRL1;0;0;GLENAVON FC - GLENTORAN FC;23/09/2022 20.45;A;2,90;3,30;2,10
1;350;18910;CCHSCO;0;0;ALLOA ATHLETIC FC - AIRDRIEONIANS FC;23/09/2022 20.45;A;2,40;3,55;2,40
1;350;18827;CCHSCO;0;0;ANNAN ATHLETIC FC - KELTY HEARTS FC;23/09/2022 20.45;A;2,95;3,55;1,98
1;350;18899;CCHSCO;0;0;FALKIRK - PARTICK THISTLE FC;23/09/2022 20.45;A;3,70;3,70;1,72
1;350;6221;NATLEA;0;0;BOSNIA-ERZEGOVINA - MONTENEGRO;23/09/2022 20.45;A;1,75;3,50;4,75
1;350;4920;NATLEA;0;0;BULGARIA - GIBILTERRA;23/09/2022 20.45;A;1,08;10,00;21,00
1;350;6220;NATLEA;0;0;FINLANDIA - ROMANIA;23/09/2022 20.45;A;2,25;3,15;3,25
1;350;4926;NATLEA;0;0;GERMANIA - UNGHERIA;23/09/2022 20.45;A;1,23;6,00;12,00
1;350;6080;NATLEA;0;0;ITALIA - INGHILTERRA;23/09/2022 20.45;A;2,85;3,15;2,55
1;350;13047;OLA2;0;0;DORDRECHT - MVV MAASTRICHT;23/09/2022 21.00;A;2,25;3,65;2,75
1;350;13072;OLA2;0;0;HERACLES ALMELO - HELMOND SPORT;23/09/2022 21.00;A;1,35;5,00;7,00
1;350;13078;OLA2;0;0;TOP OSS - WILLEM II;23/09/2022 21.00;A;4,00;3,85;1,75
1;350;13061;OLA2;0;0;VENLO - TELSTAR;23/09/2022 21.00;A;2,00;3,65;3,25
1;350;13140;SPA2;0;0;SPORTING GIJON - UD IBIZA;23/09/2022 21.00;A;1,77;3,25;4,80
1;350;18788;AMINT;0;0;MAROCCO - GHANA;23/09/2022 21.00;A;2,60;3,05;2,65
1;350;18901;CCHSCO;0;0;THE NEW SAINTS - FC DUNDEE;23/09/2022 21.00;A;2,60;3,50;2,25
1;350;25087;ARG2;0;0;QUILMES - ALMAGRO;23/09/2022 22.00;A;2,50;3,10;2,55
1;350;16472;COL2;0;0;ATLETICO FC - DEPORTES QUINDIO;23/09/2022 22.00;A;2,50;2,75;2,90
1;350;14823;PAR1;0;0;SPORTIVO AMELIANO - GUAIRENA FC;23/09/2022 23.00;A;2,25;3,10;2,90
1;350;32016;ARG1;0;0;GODOY CRUZ - BOCA JUNIORS;24/09/2022 00.00;A;2,60;3,00;2,75
1;350;32071;ARG1;0;0;HURACAN - BANFIELD;24/09/2022 00.00;A;1,65;3,50;5,25
1;350;19320;URU1;0;0;DEPORTIVO MALDONADO - BOSTON RIVER;24/09/2022 00.00;A;2,35;3,00;2,85
1;350;19012;BRA2;0;0;NAUTICO - SAMPAIO CORREA;24/09/2022 00.00;A;2,30;3,05;3,05
1;350;14812;PAR1;0;0;CLUB GENERAL CABALLERO JLM - CLUB GUARANI;24/09/2022 01.30;A;3,15;3,10;2,10
1;350;24703;MEX1;0;0;NECAXA - MAZATLAN;24/09/2022 02.00;A;1,95;3,35;3,60
1;350;34723;AMINT;0;0;ARGENTINA - HONDURAS;24/09/2022 02.00;A;1,08;8,60;22,00
1;350;25033;BRA2;0;0;LONDRINA - PONTE PRETA;24/09/2022 02.30;A;2,15;2,85;3,60
1;350;24605;MEX1;0;0;PUEBLA - PUMAS UNAM;24/09/2022 04.05;A;1,95;3,40;3,55
1;350;25031;JPN2;0;0;THESPAKUSATSU GUNMA - RENOFA YAMAGUCHI;24/09/2022 07.00;A;2,50;3,00;2,80
1;350;24854;JPN2;0;0;TOKYO VERDY - MONTEDIO YAMAGATA;24/09/2022 09.00;A;2,65;3,30;2,45
1;350;25063;KOR2;0;0;BUCHEON - GIMPO FC;24/09/2022 09.00;A;1,70;3,35;4,30
1;350;26745;CHN1;0;0;CHANGCHUN YATAI - WUHAN YANGTZE RIVER FC;24/09/2022 11.30;A;1,45;4,20;6,00
1;350;24738;JPN3;0;0;GAINARE TOTTORI - KAGOSHIMA UNITED;24/09/2022 11.30;A;3,10;3,30;2,00
1;350;24797;JPN2;0;0;OITA TRINITA - VENTFORET KOFU;24/09/2022 12.00;A;2,35;3,10;2,95
1;350;24856;JPN2;0;0;V-VAREN NAGASAKI - YOKOHAMA;24/09/2022 12.00;A;2,80;3,10;2,45
1;350;24536;JPN3;0;0;EHIME - FUJIEDA;24/09/2022 12.00;A;2,25;3,25;2,75
1;350;11694;ITA3;0;0;MONTEROSI - VIRTUS FRANCAVILLA;24/09/2022 12.30;A;2,35;3,00;3,00
1;350;24907;FIN2;0;0;TPS - JARO;24/09/2022 13.00;A;2,05;3,40;3,20
1;350;24959;SWE3;0;0;IF SYLVIA - HAMMARBY TALANG FF;24/09/2022 13.00;A;2,40;3,30;2,50
1;350;25092;DAN3;0;0;SKIVE - BK FREM;24/09/2022 13.00;A;1,68;3,85;3,75
1;350;24981;FIN3;0;0;JAKOBSTADS - GBK KOKKOLA;24/09/2022 13.00;A;2,05;3,70;2,80
1;350;25162;FIN3;0;0;SALPA - HJS;24/09/2022 13.00;A;1,35;4,90;5,80
1;350;14759;ENG3;0;0;FOREST GREEN - EXETER;24/09/2022 13.30;A;3,10;3,20;2,20
1;350;26747;CHN1;0;0;DALIAN PROFESSIONAL - GUOAN;24/09/2022 13.30;A;3,35;3,30;2,05
1;350;26741;CHN1;0;0;WUHAN THREE TOWNS - CANGZHOU MIGHTY LIONS;24/09/2022 13.30;A;1,37;4,70;6,80
1;350;14846;SPA2;0;0;HUESCA - LEGANES;24/09/2022 14.00;A;2,40;3,05;2,95
1;350;26734;CHN1;0;0;SHENZHEN FC - SHANDONG LUNENG;24/09/2022 14.00;A;6,20;4,20;1,45
1;350;25221;DAN3;0;0;BRABRAND - KOLDING IF;24/09/2022 14.00;A;5,40;3,55;1,53
1;350;25197;FIN3;0;0;ESPOON - TAMPEREEN-VIIPURIN ILVES-KISSAT;24/09/2022 14.00;A;2,35;3,95;2,25
1;350;25205;FIN3;0;0;KESKI-UUSIMAA - FC LAPA;24/09/2022 14.00;A;1,05;9,60;17,00
1;350;25029;FIN3;0;0;LAHDEN REIPAS - FC KIFFEN;24/09/2022 14.00;A;1,72;3,80;3,70
1;350;24952;FIN3;0;0;NURMIJARVEN JALKAPALLOSEURA - FC FUTURA;24/09/2022 14.00;A;1,57;4,10;4,20
1;350;25101;FIN3;0;0;PEKA - JIPPO;24/09/2022 14.00;A;5,60;4,60;1,38
1;350;24946;FIN3;0;0;PPJ - ATLANTIS;24/09/2022 14.00;A;2,15;4,20;2,40
1;350;11681;ITA3;0;0;CESENA - PONTEDERA;24/09/2022 14.30;A;1,62;3,55;5,15
1;350;11680;ITA3;0;0;FIDELIS ANDRIA - PICERNO;24/09/2022 14.30;A;2,15;3,15;3,25
1;350;11710;ITA3;0;0;LECCO - MANTOVA;24/09/2022 14.30;A;2,05;3,15;3,50
1;350;11675;ITA3;0;0;PERGOLETTESE - ARZIGNANO;24/09/2022 14.30;A;2,25;3,05;3,15
1;350;11720;ITA3;0;0;PIACENZA - ALBINOLEFFE;24/09/2022 14.30;A;2,45;2,95;2,90
1;350;11672;ITA3;0;0;PORDENONE - PADOVA;24/09/2022 14.30;A;2,25;3,05;3,15
1;350;11687;ITA3;0;0;PRO PATRIA - RENATE;24/09/2022 14.30;A;2,35;3,10;2,90
1;350;11674;ITA3;0;0;PRO SESTO - SANGIULIANO CITY NOVA FC;24/09/2022 14.30;A;2,30;3,10;3,00
1;350;11689;ITA3;0;0;RECANATESE - TORRES;24/09/2022 14.30;A;2,15;3,05;3,35
1;350;11714;ITA3;0;0;TRENTO - TRIESTINA;24/09/2022 14.30;A;2,60;2,90;2,75
1;350;11703;ITA3;0;0;VIRTUS VECOMP VERONA - FERALPISALO;24/09/2022 14.30;A;3,25;2,95;2,25
1;350;14772;ENG4;0;0;NORTHAMPTON - STOCKPORT COUNTY FC;24/09/2022 15.00;A;2,25;3,30;2,90
1;350;24844;FIN2;0;0;IF GNISTAN - PEPO LAPPEENRANTA;24/09/2022 15.00;A;1,90;3,75;3,35
1;350;24864;FIN3;0;0;FC JAZZ - KAAPO;24/09/2022 15.00;A;1,21;5,80;8,20
1;350;25230;FIN3;0;0;VJS - GRANKULLA;24/09/2022 15.00;A;1,99;4,20;2,65
1;350;24649;CCHSCO;0;0;INVERNESS - BRECHIN CITY;24/09/2022 15.00;A;1,30;4,70;7,40
1;350;24480;CCHSCO;0;0;MONTROSE - KILMARNOCK FC B;24/09/2022 15.00;A;2,05;3,50;2,85
1;350;4918;NATLEA;0;0;ARMENIA - UCRAINA;24/09/2022 15.00;A;7,00;3,85;1,45
1;350;24923;WAL1;0;0;BALA TOWN FC - CARDIFF METROPOLITA...;24/09/2022 15.30;A;2,10;3,45;2,85
1;350;25114;WAL1;0;0;CONNAH'S QUAY NOMADS FC - PONTYPRIDD UNITED;24/09/2022 15.30;A;1,55;3,65;4,90
1;350;25059;WAL1;0;0;HAVERFORDWEST COUNT... - FLINT TOWN UNITED FC;24/09/2022 15.30;A;2,10;3,35;2,90
1;350;14766;ENG3;0;0;BARNSLEY - CHARLTON;24/09/2022 16.00;A;2,25;3,15;3,05
1;350;14764;ENG3;0;0;BRISTOL ROVERS - ACCRINGTON STANLEY;24/09/2022 16.00;A;2,60;3,35;2,45
